FULL_CODE,NAME,DESCRIPTION,FRAMEWORK_AREA,FRAMEWORK_CATEGORY,CORE_PROPOSITIONS
TW01,Whole class format,"The entire class is talking, listening, or working together. Students are not divided into groups or working independently.",High-Leverage Practices,General Teacher Practice,Teachers are responsible for managing and monitoring student learning
TW02,Small group or partner work,Students are divided into groups or pairs and are working with each other,High-Leverage Practices,General Teacher Practice,Teachers are responsible for managing and monitoring student learning
TW03,Individual Work,Students are working individually on the same or different tasks.,High-Leverage Practices,General Teacher Practice,Teachers are responsible for managing and monitoring student learning
TW04,Launching a task or activity,"The teacher is beginning an instructional activity or assignment. The teacher might pose a question, explain an assignment, or initiate student work with a text, experiment, or problem. The teacher might set the purpose of the activity or might otherwise motivate and set the context for the work, provide guidelines about how to go about working on it, and get students underway.",High-Leverage Practices,Teaching a lesson or segment of instruction,Teachers are responsible for managing and monitoring student learning
TW05,Circulating,"The teacher is walking intentionally around the room while students work in groups or individually. The teacher might be observing students, answering questions, or intervening to support or direct students‰Ûª academic work.",High-Leverage Practices,General Teacher Practice,Teachers are responsible for managing and monitoring student learning
TW06,"Explaining content, including modeling and using representations and examples","The teacher is explaining academic content (ideas, concepts, processes, procedures) by talking, showing things, demonstrating, or by using visual tools such as diagrams or tables, or concrete materials.",High-Leverage Practices,"Making content explicit through explanation, modeling, representations and examples",Teachers know the subjects they teach and how to teach those subjects to students|Teachers are responsible for managing and monitoring student learning
TW06c,"Explaining communication skills content, including modeling and using representations and examples","The teacher in an early elementary or special education classroom is explaining a social or communication skill by talking, showing examples, demonstrating, or by having students model the skill.",High-Leverage Practices,"Making content explicit through explanation, modeling, representations and examples",Teachers know the subjects they teach and how to teach those subjects to students|Teachers are responsible for managing and monitoring student learning
TW06e,"Explaining English language arts content, including modeling and using representations and examples","The teacher is explaining academic content (ideas, concepts, processes, procedures) by talking, showing things, demonstrating, or by using visual tools such as diagrams or tables, or concrete materials.",High-Leverage Practices,"Making content explicit through explanation, modeling, representations and examples",Teachers know the subjects they teach and how to teach those subjects to students|Teachers are responsible for managing and monitoring student learning
TW06m,"Explaining mathematics content, including modeling and using representations and examples","The teacher is explaining academic content (ideas, concepts, processes, procedures) by talking, showing things, demonstrating, or by using visual tools such as diagrams or tables, or concrete materials.",High-Leverage Practices,"Making content explicit through explanation, modeling, representations and examples",Teachers know the subjects they teach and how to teach those subjects to students|Teachers are responsible for managing and monitoring student learning
TW06s,"Explaining science content, including modeling and using representations and examples","The teacher is explaining academic content (ideas, concepts, processes, procedures) by talking, showing things, demonstrating, or by using visual tools such as diagrams or tables, or concrete materials.",High-Leverage Practices,"Making content explicit through explanation, modeling, representations and examples",Teachers know the subjects they teach and how to teach those subjects to students|Teachers are responsible for managing and monitoring student learning
TW07,Implementing norms and routines for academic discourse and work,"The teacher is making explicit, commenting on, reviewing or reinforcing, or teaching students specific norms and routines for academic discourse. Examples include listening, critiquing arguments, providing evidence, making hypotheses and claims, using language, and asking questions.",High-Leverage Practices,Establing norms and routines for classroom discourse central to the subject-matter domain,Teachers know the subjects they teach and how to teach those subjects to students|Teachers are responsible for managing and monitoring student learning
TW08,Discussion,"The teacher is leading or facilitating a discussion among students. Three or more students are contributing to it, and the teacher seeks to involve multiple children in listening and speaking. The discussion involves sustained interaction and is focused on a text, issue, problem, or question, where the goal is to work on developing collective understanding, analysis, or solutions.",High-Leverage Practices,Leading a whole-class discussion,Teachers are responsible for managing and monitoring student learning
TW08e,Discussion (English language arts),"The teacher is leading or facilitating a discussion among students. Three or more students are contributing to it, and the teacher seeks to involve multiple children in listening and speaking. The discussion involves sustained interaction and is focused on a text, issue, problem, or question, where the goal is to work on developing collective understanding, analysis, or solutions.",High-Leverage Practices,Leading a whole-class discussion,Teachers are responsible for managing and monitoring student learning
TW08m,Discussion (Mathematics),"The teacher is leading or facilitating a discussion among students. Three or more students are contributing to it, and the teacher seeks to involve multiple children in listening and speaking. The discussion involves sustained interaction and is focused on a text, issue, problem, or question, where the goal is to work on developing collective understanding, analysis, or solutions.",High-Leverage Practices,Leading a whole-class discussion,Teachers are responsible for managing and monitoring student learning
