0, TW01, TW02, TW03, TW04, TW05, TW06, TW06c, TW06m, TW06s, TW07, TW08, TW08m, TW09, TW09m, TW09s, TW10, TW10m, TW11, TW12, TW13, TW14, TW15, TW16, TW17, TW17m, TW18, TW19, TW20, TW21, TW22, TW23, TW24, TW24TW01, TW24TW02, TW24TW05, TW24TW06, TW24TW07, TW24TW08, TW24TW09, TW24TW10, TW24TW11, TW24TW12, TW24TW13, TW24TW14, TW24TW15, TW24TW16, TW24TW17, TW24TW19
TW01, 118, 65, 17, 19, 40, 32, 0, 8, 12, 15, 40, 10, 9, 1, 8, 8, 0, 21, 1, 44, 3, 22, 37, 45, 1, 20, 12, 11, 3, 23, 20, 43, 3, 0, 0, 6, 3, 15, 1, 1, 1, 0, 2, 2, 1, 1, 3, 1
TW02, 0, 129, 9, 15, 65, 25, 1, 3, 10, 13, 34, 4, 32, 8, 19, 7, 0, 14, 0, 37, 1, 18, 27, 38, 2, 20, 15, 6, 5, 23, 20, 44, 2, 5, 1, 4, 1, 11, 8, 0, 2, 1, 2, 1, 1, 1, 3, 0
TW03, 0, 0, 20, 6, 10, 8, 0, 0, 2, 2, 4, 0, 1, 0, 1, 3, 0, 6, 0, 9, 0, 5, 8, 10, 0, 3, 3, 3, 0, 3, 2, 9, 1, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0
TW04, 0, 0, 0, 24, 11, 8, 0, 1, 2, 3, 3, 1, 7, 0, 1, 1, 0, 10, 0, 11, 1, 5, 6, 10, 0, 4, 6, 5, 1, 0, 0, 8, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 1, 0, 1, 2, 0
TW05, 0, 0, 0, 0, 72, 17, 0, 0, 8, 5, 21, 0, 17, 2, 11, 5, 0, 9, 0, 18, 1, 12, 18, 25, 1, 14, 10, 4, 3, 14, 11, 29, 2, 1, 1, 4, 0, 8, 6, 0, 0, 0, 0, 0, 0, 0, 3, 0
TW06, 0, 0, 0, 0, 0, 48, 0, 0, 1, 9, 16, 0, 8, 0, 1, 5, 0, 8, 1, 18, 1, 8, 14, 17, 0, 9, 4, 4, 2, 5, 4, 19, 0, 0, 0, 4, 1, 4, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0
TW06c, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
TW06m, 0, 0, 0, 0, 0, 0, 0, 8, 0, 5, 0, 6, 0, 0, 0, 0, 0, 2, 0, 6, 0, 1, 2, 0, 1, 0, 0, 2, 0, 1, 3, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0
TW06s, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 7, 0, 0, 0, 3, 0, 0, 2, 0, 5, 0, 1, 7, 3, 0, 3, 1, 1, 0, 5, 6, 5, 1, 0, 0, 1, 0, 4, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0
TW07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 8, 4, 3, 0, 1, 1, 0, 6, 0, 10, 1, 7, 2, 4, 1, 6, 3, 3, 0, 2, 4, 6, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 2, 0, 1, 2, 0, 0
TW08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 10, 0, 4, 4, 0, 5, 0, 11, 1, 14, 9, 20, 0, 9, 6, 2, 2, 13, 10, 25, 0, 1, 0, 1, 3, 22, 2, 0, 1, 0, 0, 1, 0, 1, 0, 1
TW08m, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 0, 6, 0, 0, 2, 0, 1, 1, 0, 2, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0
TW09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 3, 5, 0, 3, 0, 8, 1, 7, 3, 9, 0, 4, 5, 1, 2, 3, 2, 16, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 1, 1, 0
TW09m, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 0, 4, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
TW09s, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 0, 6, 2, 3, 0, 3, 0, 0, 0, 3, 4, 3, 0, 0, 1, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
TW10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 0, 4, 0, 5, 2, 6, 0, 2, 1, 2, 0, 0, 0, 6, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0
TW10m, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
TW11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 12, 0, 4, 4, 13, 1, 9, 3, 4, 1, 0, 2, 7, 1, 0, 0, 1, 1, 3, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0
TW12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
TW13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 1, 18, 20, 23, 1, 12, 3, 5, 1, 12, 11, 20, 2, 4, 0, 5, 2, 5, 2, 0, 0, 0, 2, 0, 1, 1, 1, 0
TW14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
TW15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 8, 11, 0, 8, 4, 2, 1, 4, 3, 13, 1, 2, 0, 2, 2, 5, 3, 1, 0, 0, 0, 0, 0, 0, 1, 0
TW16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 13, 0, 7, 7, 2, 0, 11, 8, 17, 1, 1, 0, 1, 2, 5, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0
TW17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 12, 7, 4, 1, 10, 7, 22, 1, 0, 0, 4, 1, 5, 1, 1, 0, 1, 0, 1, 0, 0, 3, 0
