index,caseID,filename
0,001,Copy of 001 ENLEAYA001.srt.txt
1,002,Copy of 002 MATH AYA 002 edited.srt.txt
2,003,Copy of 003 MUSICEMC003.srt.txt
3,004 ,Copy of 004A MUSICEAYA004A.srt.txt
4,004 ,Copy of 004B MUSICEAYA004B.srt.txt
5,005,Copy of 005 WL_EAYA_005_25_FRE 005 edited.srt.txt
6,006,Copy of 006 ARTEAYA006.srt.txt
7,009,Copy of 009 LRLAEMC009.srt.txt
8,010,Copy of 010 SCECYA010.srt.txt
9,012 ,Copy of 012A PE EAYA 012Aedited.srt.txt
10,012 ,Copy of 012B PE EAYA 012Bedited.srt.txt
11,014 ,Copy of 014A LMECYA014A.srt.txt
12,014 ,Copy of 014B LMECYA014B.srt.txt
13,020,Copy of 020 ELAEA020.srt.txt
14,021,Copy of 021 SSH EA 021edited.srt.txt
15,022,Copy of 022 ELAAYA022.srt.txt
16,024,Copy of 024 MUSIC EAYA 024.srt.txt
17,026,Copy of 026 GEN MC 026edited.srt.txt
18,027,Copy of 027 ELAAYA027.srt.txt
19,028,Copy of 028 PE EMC 028edited.srt.txt
20,029 ,Copy of 029A LM ECYA 029 A.srt.txt
21,029 ,Copy of 029B LM ECYA 029Bedited.srt.txt
22,031,Copy of 031 SCIAYA031.srt.txt
23,032,Copy of 032 ENS ECYA 032.srt.txt
24,033,Copy of 033 ENS ECYA 033 edited.srt.txt
25,034,Copy of 034 GENEC034.srt.txt
26,040,Copy of 040 MUSIC EAYA 040.srt.txt
27,041,Copy of 041 SCECYA041.srt.txt
28,042,Copy of 042 ENL EMC 042edited.srt.txt
29,043,Copy of 043 GENMC043.srt.txt
30,045,Copy of 045 GENMC045.srt.txt
31,046,Copy of 046 ARTEMC046.srt.txt
32,048,Copy of 048 GEN EC 048edited.srt.txt
33,050,Copy of 050 GEN EC 050edited.srt.txt
34,051,Copy of 051 ENSECYA051.srt.txt
35,052,Copy of 052 ELA AYA 052edited.srt.txt
36,053,Copy of 053 GEN EC 053 edited.srt.txt
37,055,Copy of 055 ENL_EMC_055_25_LAS 055 edited.srt.txt
38,060,Copy of 060 SSH EA 060 edited.srt.txt
39,061,Copy of 061 WL_EAYA_061_25_LAS 061edited.srt.txt
40,064 ,Copy of 064A LRLAEM 064A.srt.txt
41,064 ,Copy of 064B LRLA EMC 064 B.srt.txt
42,065 ,Copy of 065A MUSIC EAYA 065 A.srt.txt
43,065 ,Copy of 065B MUSIC EAYA 065 B.srt.txt
44,066,Copy of 066 ENS ECYA 066 edited.srt.txt
45,068,Copy of 068 GEN MC 068 edited.srt.txt
46,070 ,Copy of 070A MUSIC EMC 070 A.srt.txt
47,070 ,Copy of 070B MUSIC EMC 070 B.srt.txt
48,073,Copy of 073 SCI AYA 073.srt.txt
49,074 ,Copy of 074A ENL EMC 074A edited.srt.txt
50,074 ,Copy of 074B ENL EMC 074B edited.srt.txt
51,075,Copy of 075 PE EMC 075.srt.txt
52,076,Copy of 076 GEN EC 076 edited.srt.txt
53,077,Copy of 077 SSH AYA 077.srt.txt
54,079,Copy of 079 MUSIC EMC 079.srt.txt
55,081,Copy of 081 ARTEMC081.srt.txt
56,082,Copy of 082 ELAEA082.srt.txt
57,085 ,Copy of 085A MUSIC EMC 085 A.srt.txt
58,085 ,Copy of 085B MUSIC EMC 085 B.srt.txt
59,086,Copy of 086 SSH AYA 086.srt.txt
60,087,Copy of 087 ARTEMC087.srt.txt
61,090,Copy of 090 SCI EA 090.srt.txt
62,093,Copy of 093 GEN EC 093.srt.txt
63,094,Copy of 094 SCIEA094.srt.txt
64,096,Copy of 096 LRLAEMC096.srt.txt
65,098,Copy of 098 MUSIC EMC 098.srt.txt
66,099,Copy of 099 ELA EA 099 edited.srt.txt
67,1008,Copy of 1008 MATH AYA 1008edited.srt.txt
68,101,Copy of 101 SSH EA 101 edited.srt.txt
69,1015,Copy of 1015 MATH AYA 1015 edited.srt.txt
70,1022,Copy of 1022 SCI AYA 1022 edited.srt.txt
71,1026,Copy of 1026 SCI AYA 1026edited.srt.txt
72,102 ,Copy of 102A PE EAYA 102A edited.srt.txt
73,102 ,Copy of 102B PE EAYA 102 B.srt.txt
74,1031,Copy of 1031 SCI AYA 1031edited.srt.txt
75,1033,Copy of 1033 SCI AYA 1033.srt.txt
76,104,Copy of 104 ELA AYA 104.srt.txt
77,1042,Copy of 1042 SCI AYA 1042edited.srt.txt
78,1046,Copy of 1046 SCI AYA 1046edited.srt.txt
79,1047,Copy of 1047 SCI AYA 1047edited.srt.txt
80,1049,Copy of 1049 SCI AYA 1049edited.srt.txt
81,1053,Copy of 1053 SCI AYA 1053edited.srt.txt
82,1054,Copy of 1054 SCI AYA 1054edited.srt.txt
83,1057,Copy of 1057 SCI AYA 1057edited.srt.txt
84,106,Copy of 106 SCI EA 106.srt.txt
85,1060,Copy of 1060 SCI AYA 1060edited.srt.txt
86,1062,Copy of 1062 SCI AYA 1062edited.srt.txt
87,1064,Copy of 1064 SCI AYA 1064edited.srt.txt
88,1069,Copy of 1069 SCI AYA 1069edited.srt.txt
89,107,Copy of 107 CTE EAYA 107.srt.txt
90,1071,Copy of 1071 SCI AYA 1071edited.srt.txt
91,1072,Copy of 1072 SCI AYA 1072edited.srt.txt
92,1073,Copy of 1073 SCI AYA 1073edited.srt.txt
93,1078,Copy of 1078 SCI AYA 1078edited.srt.txt
94,1080,Copy of 1080 SCI AYA 1080edited.srt.txt
95,1082,Copy of 1082 SCI AYA 1082-2edited.srt.txt
96,108 ,Copy of 108A ART EAYA 108 A.srt.txt
97,108 ,Copy of 108B ART EAYA 108 B.srt.txt
98,108 ,Copy of 108C ART EAYA 108 C.srt.txt
99,111,Copy of 111 MATH AYA 111edited.srt.txt
100,112,Copy of 112 MUSIC EAYA 112edited.srt.txt
101,113,Copy of 113 ENL EMC 113edited.srt.txt
102,114,Copy of 114 ELA AYA 114edited.srt.txt
103,115,Copy of 115 ENS ECYA 115edited.srt.txt
104,116,Copy of 116 ART EAYA 116.srt.txt
105,118,Copy of 118 GEN MC 118edited.srt.txt
106,120,Copy of 120 MATH EA 120edited.srt.txt
107,122 ,Copy of 122A CTE EAYA 122 A.srt.txt
108,122 ,Copy of 122B CTE EAYA 122 B edited.srt.txt
109,123,Copy of 123 WL_EAYA_123_25_FRE 123 edited.srt.txt
110,128,Copy of 128 PE EAYA 128edited.srt.txt
111,129,Copy of 129 LRLA EMC 129edited.srt.txt
112,131,Copy of 131 ELA AYA 131.srt.txt
113,132,Copy of 132 ART EAYA 132edited.srt.txt
114,134,Copy of 134 MATH AYA 134 edited.srt.txt
115,135,Copy of 135 SC ECYA 135 edited.srt.txt
116,1360,Copy of 1360 GEN_EC_1360_Video_Recording_A_edited.srt.txt
117,1362,Copy of 1362 GEN_EC_1362_Video_Recording_A_edited.srt.txt
118,1363,Copy of 1363 GEN_EC_1363_Video_Recording_A_edited.srt.txt
119,1364,Copy of 1364 GEN_EC_1364_Video_Recording_A_edited.srt.txt
120,1365,Copy of 1365 GEN_EC_1365_Video_Recording_A_edited.srt.txt
121,1366,Copy of 1366 GEN_EC_1366_Video_Recording_A_edited.srt.txt
122,137,Copy of 137 PE EMC 137 edited.srt.txt
123,1372,Copy of 1372 GEN_EC_1372_Video_Recording_A_edited.srt.txt
124,1373,Copy of 1373 GEN_EC_1373_Video_Recording_A_edited.srt.txt
125,1375,Copy of 1375 GEN_MC_1375_Video_Recording_A_edited.srt.txt
126,1377,Copy of 1377 GEN_MC_1377_Video_Recording_A_edited.srt.txt
127,1378,Copy of 1378 GEN_MC_1378_Video_Recording_A_(Source)_edited.srt.txt
128,1379,Copy of 1379 GEN_MC_1379_Video_Recording_A_edited.srt.txt
129,1380,Copy of 1380 GEN_MC_1380_Video_Recording_A_edited.srt.txt
130,1382,Copy of 1382 GEN_MC_1382_Video_Recording_A_edited.srt.txt
131,142,Copy of 142 GEN EC 142.srt.txt
132,146,Copy of 146 ELA AYA 146 edited.srt.txt
133,148,Copy of 148 GEN MC 148 edited.srt.txt
134,150,Copy of 150 GEN EC 150 edited.srt.txt
135,151 ,Copy of 151A ART EMC 151A edited.srt.txt
136,151 ,Copy of 151B ART EMC 151 B.srt.txt
137,153,Copy of 153 ENS ECYA 153 edited.srt.txt
138,154 ,Copy of 154A CTE EAYA 154 A.srt.txt
139,154 ,Copy of 154B CTE EAYA 154 B.srt.txt
140,156,Copy of 156 ENS ECYA 156 edited.srt.txt
141,157,Copy of 157 LRLA EMC 157.srt.txt
142,158,Copy of 158 SSH EA 158 edited.srt.txt
143,160,Copy of 160 SCI AYA 160.srt.txt
144,161,Copy of 161 SCI EA 161 edited.srt.txt
145,163,Copy of 163 HE EAYA 163.srt.txt
146,164,Copy of 164 GEN MC 164 edited.srt.txt
147,165,Copy of 165 CTE EAYA 165 edited.srt.txt
148,166,Copy of 166 LRLA EMC 166 edited.srt.txt
149,167,Copy of 167 PE EMC 167 edited.srt.txt
150,171,Copy of 171 ENS ECYA 171.srt.txt
151,173,Copy of 173 GEN EC 173 edited.srt.txt
152,176,Copy of 176 ELA AYA 176 edited.srt.txt
153,177,Copy of 177 SC ECYA 177.srt.txt
154,181,Copy of 181 ELA EA 181.srt.txt
155,183,Copy of 183 PE EAYA 183 edited.srt.txt
156,1835,Copy of 1835 SCI_EA_1835_Video_Recording_A_edited.srt.txt
157,1837,Copy of 1837 SCI_EA_1837_Video_Recording_A_edited.srt.txt
158,1838,Copy of 1838 SCI_EA_1838_Video_Recording_A_edited.srt.txt
159,1839,Copy of 1839 SCI_EA_1839_Video_Recording_A_edited.srt.txt
160,1846,Copy of 1846 SCI_EA_1846_Video_Recording_A_edited.srt.txt
161,1857,Copy of 1857 SCI_EA_1857_Video_Recording_A edited.srt.txt
162,188,Copy of 188 ELA AYA 188 edited.srt.txt
163,190,Copy of 190 ENL EAYA 190edited.srt.txt
164,191,Copy of 191 LRLA EMC 191edited.srt.txt
165,192,Copy of 192 ENL EAYA 192.srt.txt
166,194,Copy of 194 GEN MC 194edited.srt.txt
167,195,Copy of 195 SSH AYA 195edited.srt.txt
168,196,Copy of 196 MATH AYA 196edited.srt.txt
169,198,Copy of 198 ELA AYA 198edited.srt.txt
170,201,Copy of 201 ELA AYA 201edited.srt.txt
171,202,Copy of 202 MUSIC EMC 202edited.srt.txt
172,203,Copy of 203 SSH AYA 203edited.srt.txt
173,204,Copy of 204 LRLA EMC 204.srt.txt
174,205,Copy of 205 ENS ECYA 205edited.srt.txt
175,206,Copy of 206 GEN EC 206edited.srt.txt
176,207,Copy of 207 LRLA EMC 207edited.srt.txt
177,212,Copy of 212 WL_EAYA_212_25_LAS 212 edited.srt.txt
178,213,Copy of 213 GEN MC 213edited.srt.txt
179,214,Copy of 214 HE EAYA 214 edited.srt.txt
180,216,Copy of 216 LM ECYA 216edited.srt.txt
181,217,Copy of 217 MATH EA 217edited.srt.txt
182,218,Copy of 218 LRLA EMC 218edited.srt.txt
183,221,Copy of 221 ELA AYA 221edited.srt.txt
184,238,Copy of 238 MATH EA 238 edited.srt.txt
185,243,Copy of 243 SCI EA 243 edited.srt.txt
186,244 ,Copy of 244A SCI EA 244 A edited.srt.txt
187,244 ,Copy of 244B SCI EA 244 Bedited.srt.txt
188,245,Copy of 245 SCI AYA 245edited.srt.txt
189,261,Copy of 261 MATH AYA 261edited.srt.txt
190,262 ,Copy of 262A SCI EA 262 Aedited.srt.txt
191,262 ,Copy of 262B SCI EA 262 Bedited.srt.txt
192,265,Copy of 265 MATH EA 265edited.srt.txt
193,268,Copy of 268 MATH AYA 268edited.srt.txt
194,269,Copy of 269 SCI AYA 269edited.srt.txt
195,274 ,Copy of 274A SCI EA 274 Aedited.srt.txt
196,274 ,Copy of 274B SCI EA 274 Bedited.srt.txt
197,280,Copy of 280 MATH AYA 280edited.srt.txt
198,285 ,Copy of 285A SCI EA 285 Aedited.srt.txt
199,285 ,Copy of 285B SCI EA 285 B edited.srt.txt
200,289,Copy of 289 SCI EA 289 edited.srt.txt
201,293,Copy of 293 SCI EA 293 edited.srt.txt
202,297,Copy of 297 MATH EA 297 edited.srt.txt
203,302 ,Copy of 302A SCI EA 302 A edited.srt.txt
204,302 ,Copy of 302B SCI EA 302 B edited.srt.txt
205,310,Copy of 310 MATH EA 310 edited.srt.txt
206,340,Copy of 340 MATH AYA 340 edited.srt.txt
207,448,Copy of 448 GEN EC 448 edited.srt.txt
208,459,Copy of 459 GEN EC 459 edited.srt.txt
209,460,Copy of 460 GEN EC 460 edited.srt.txt
210,590,Copy of 590 GEN EC 590edited.srt.txt
211,595,Copy of 595 GEN EC 595edited.srt.txt
212,596,Copy of 596 GEN EC 596edited.srt.txt
213,597,Copy of 597 GEN EC 597edited.srt.txt
214,603,Copy of 603 GEN MC 603edited.srt.txt
215,606,Copy of 606 GEN MC 606edited.srt.txt
216,608,Copy of 608 GEN MC 608edited.srt.txt
217,610,Copy of 610 GEN MC 610 edited.srt.txt
218,611,Copy of 611 GEN MC 611 edited.srt.txt
219,616,Copy of 616 GEN MC 616 edited.srt.txt
220,618,Copy of 618 GEN MC 618 edited.srt.txt
221,621,Copy of 621 GEN MC 621 edited.srt.txt
222,796,Copy of 796 MATH EA 796 edited.srt.txt
223,797,Copy of 797 MATH EA 797 edited.srt.txt
224,804,Copy of 804 MATH EA 804 edited.srt.txt
225,806,Copy of 806 MATH EA 806 edited.srt.txt
226,812,Copy of 812 MATH EA 812 edited.srt.txt
227,813,Copy of 813 MATH EA 813 edited.srt.txt
228,825,Copy of 825 SCI EA 825 edited.srt.txt
229,826,Copy of 826 SCI EA 826 edited.srt.txt
230,828,Copy of 828 SCI EA 828 edited.srt.txt
231,837,Copy of 837 SCI EA 837 edited.srt.txt
232,838,Copy of 838 SCI EA 838 edited.srt.txt
233,839,Copy of 839 SCI EA 839 edited.srt.txt
234,840,Copy of 840 SCI EA 840 edited.srt.txt
235,841,Copy of 841 SCI EA 841 edited.srt.txt
236,842,Copy of 842 SCI EA 842edited.srt.txt
237,845,Copy of 845 SCI EA 845edited.srt.txt
238,846,Copy of 846 SCI EA 846edited.srt.txt
239,981,Copy of 981 MATH AYA 981 edited.srt.txt
240,990,Copy of 990 MATH AYA 990 edited.srt.txt
241,994,Copy of 994 MATH AYA 994 edited.srt.txt
242,996,Copy of 996 MATH AYA 996 edited.srt.txt
